product_name,price_after_discount,discount_percentage,merchant,merchant_city,unit_sold,product_rating
Somethinc Hooman Breathable Cushion Cover Spf35 (Refill) 115997595,Rp119.200,20%,Matahari Official,Kab. Tangerang,4 terjual,4.5
SOMETHINC Checkmatte Transferproof Lipstick,Rp98.100,10%,BeautyHaul_NEW,Tangerang,2rb+ terjual,4.9
SOMETHINC Copy Paste COVERBLUR   Powder Foundation 12g | Two Way Cake,Rp147.870,7%,saeningstore,Surabaya,2 terjual,
[FLASH SALE] SOMETHINC Forever Stay Comfort Lip Glaze,Rp99.000,57%,Somethinc,Tangerang,70+ terjual,5.0
[FLASH SALE] SOMETHINC COPY PASTE BREATHABLE MESH CUSHION SPF 33 PA++,Rp189.000,9%,Somethinc Makeup Official,Tangerang,8 terjual,5.0
[FLASH SALE] [Tasya Farasya Approved] SOMETHINC Calm Down! Skinpair Moisturizer,Rp199.000,9%,Somethinc Makeup Official,Tangerang,11 terjual,5.0
SOMETHINC Reset Gentle Micellar Cleansing Water,Rp47.000,28%,Somethinc Makeup Official,Tangerang,10 terjual,5.0
SOMETHINC ALPHA SQUALANEOXIDANT DEEP CLEANSING OIL,Rp126.500,9%,Elsbeauty,Kab. Sleman,30+ terjual,5.0
[FLASH SALE] SOMETHINC MAKEUP Copy Paste COVERBLUR Powder Foundation 12g | Two Way Cake,Rp169.000,20%,Somethinc Makeup Official,Tangerang,90+ terjual,4.9
SOMETHINC HOOMAN Breathable UV Cushion Cover SPF 35 PA++++,Rp153.090,19%,Beauty is Here Indo,Jakarta Timur,1rb+ terjual,4.9
SOMETHINC Hooman Under Control HD Blur Loose Powder,Rp127.100,27%,BeautyHaul_NEW,Tangerang,10rb+ terjual,5.0
SOMETHINC [2 PCS] Copy Paste Coverblur Powder Foundation 12g | Two Way Cake + Tipsy Mascara / Hangover Mascara,Rp232.320,29%,Somethinc,Tangerang,25 terjual,5.0
SOMETHINC Checkmatte Transferproof Lipstick,Rp82.170,17%,Beauty Shop Me_NEW,Jakarta Utara,6 terjual,5.0
SOMETHINC Slow Down Hair Reducer Cream,Rp49.000,25%,Somethinc Makeup Official,Tangerang,10 terjual,5.0
SOMETHINC REFILL Copy Paste CoverBlur Powder Foundation,Rp108.800,27%,BeautyHaul_NEW,Tangerang,250+ terjual,4.9
SOMETHINC ACNEDOT Treatment Low pH Cleanser,Rp205.000,18%,Somethinc Makeup Official,Tangerang,6 terjual,5.0
SOMETHINC Coffeeinc Lip Scrub (Regular),Rp68.400,10%,BeautyHaul_NEW,Tangerang,28 terjual,4.8
SOMETHINC REFILL Copy Paste CoverBlur Powder Foundation,Rp108.800,27%,BeautyHaul_NEW,Tangerang,60+ terjual,4.9
SOMETHINC Jewel Glitter Liquid,Rp85.000,19%,Somethinc Makeup Official,Tangerang,5 terjual,5.0
SOMETHINC Ceraplump Tinted Lip Balm SPF25 | Pelembab Bibir,Rp72.090,19%,Beauty is Here Indo,Jakarta Timur,250+ terjual,4.9
somethinc hyaluronic B5 serum,Rp111.000,11%,Avostore Bekasi,Bekasi,24 terjual,5.0
Somethinc Bee Power Propolis Glow  Lip Serum 5g,Rp65.550,5%,nihonmart,Jakarta Utara,14 terjual,4.3
SOMETHINC Copy Paste Tinted Sunscreen SPF 40 PA++++ - Skin Tint [NEW LAUNCH],Rp147.870,7%,saeningstore,Surabaya,250+ terjual,5.0
